Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate by Education"
"Number of births occurring to women in a particular age group by level of education attainment during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Education","Rate"
"SSP2","Zambia","2040-2045","30--34","Upper Secondary",120
"SSP2","Zambia","2045-2050","30--34","Upper Secondary",109
"SSP2","Zambia","2050-2055","30--34","Upper Secondary",102
"SSP2","Zambia","2055-2060","30--34","Upper Secondary",96
"SSP2","Zambia","2060-2065","30--34","Upper Secondary",91
"SSP2","Zambia","2065-2070","30--34","Upper Secondary",87
"SSP2","Zambia","2075-2080","30--34","Upper Secondary",84
"SSP2","Zambia","2015-2020","35--39","Upper Secondary",99
"SSP2","Zambia","2020-2025","35--39","Upper Secondary",98
"SSP2","Zambia","2025-2030","35--39","Upper Secondary",97
"SSP2","Zambia","2030-2035","35--39","Upper Secondary",97
"SSP2","Zambia","2035-2040","35--39","Upper Secondary",79
"SSP2","Zambia","2040-2045","35--39","Upper Secondary",66
"SSP2","Zambia","2045-2050","35--39","Upper Secondary",60
"SSP2","Zambia","2050-2055","35--39","Upper Secondary",54
"SSP2","Zambia","2055-2060","35--39","Upper Secondary",50
"SSP2","Zambia","2060-2065","35--39","Upper Secondary",46
"SSP2","Zambia","2065-2070","35--39","Upper Secondary",43
"SSP2","Zambia","2075-2080","35--39","Upper Secondary",40
"SSP2","Zambia","2015-2020","40--44","Upper Secondary",49
"SSP2","Zambia","2020-2025","40--44","Upper Secondary",49
"SSP2","Zambia","2025-2030","40--44","Upper Secondary",48
"SSP2","Zambia","2030-2035","40--44","Upper Secondary",40
"SSP2","Zambia","2035-2040","40--44","Upper Secondary",34
"SSP2","Zambia","2040-2045","40--44","Upper Secondary",30
"SSP2","Zambia","2045-2050","40--44","Upper Secondary",26
"SSP2","Zambia","2050-2055","40--44","Upper Secondary",23
"SSP2","Zambia","2055-2060","40--44","Upper Secondary",21
"SSP2","Zambia","2060-2065","40--44","Upper Secondary",18
"SSP2","Zambia","2065-2070","40--44","Upper Secondary",17
"SSP2","Zambia","2075-2080","40--44","Upper Secondary",14
"SSP2","Zambia","2015-2020","45--49","Upper Secondary",12
"SSP2","Zambia","2020-2025","45--49","Upper Secondary",12
"SSP2","Zambia","2025-2030","45--49","Upper Secondary",12
"SSP2","Zambia","2030-2035","45--49","Upper Secondary",8
"SSP2","Zambia","2035-2040","45--49","Upper Secondary",7
"SSP2","Zambia","2040-2045","45--49","Upper Secondary",6
"SSP2","Zambia","2045-2050","45--49","Upper Secondary",5
"SSP2","Zambia","2050-2055","45--49","Upper Secondary",4
"SSP2","Zambia","2055-2060","45--49","Upper Secondary",3
"SSP2","Zambia","2060-2065","45--49","Upper Secondary",3
"SSP2","Zambia","2065-2070","45--49","Upper Secondary",2
"SSP2","Zambia","2075-2080","45--49","Upper Secondary",0
"SSP2","Zambia","2015-2020","15--19","Post Secondary",0
"SSP2","Zambia","2020-2025","15--19","Post Secondary",0
"SSP2","Zambia","2025-2030","15--19","Post Secondary",0
"SSP2","Zambia","2030-2035","15--19","Post Secondary",0
"SSP2","Zambia","2035-2040","15--19","Post Secondary",0
"SSP2","Zambia","2040-2045","15--19","Post Secondary",0
"SSP2","Zambia","2045-2050","15--19","Post Secondary",0
"SSP2","Zambia","2050-2055","15--19","Post Secondary",0
"SSP2","Zambia","2055-2060","15--19","Post Secondary",0
"SSP2","Zambia","2060-2065","15--19","Post Secondary",0
"SSP2","Zambia","2065-2070","15--19","Post Secondary",0
"SSP2","Zambia","2075-2080","15--19","Post Secondary",0
"SSP2","Zambia","2015-2020","20--24","Post Secondary",69
"SSP2","Zambia","2020-2025","20--24","Post Secondary",64
"SSP2","Zambia","2025-2030","20--24","Post Secondary",60
"SSP2","Zambia","2030-2035","20--24","Post Secondary",56
"SSP2","Zambia","2035-2040","20--24","Post Secondary",53
