Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Survival Ratio by Education"
"Survivorship of population in a particular education group and by five-year age group. Available by level of educational attainment, in all scenarios, and at all geographical scales. It is expressed as a percentage."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Sex","Education","Ratio"
"SSP2","Zambia","2060-2065","20--24","Female","No Education",98.2
"SSP2","Zambia","2065-2070","20--24","Female","No Education",98.3
"SSP2","Zambia","2070-2075","20--24","Female","No Education",98.3
"SSP2","Zambia","2015-2020","25--29","Female","No Education",97.7
"SSP2","Zambia","2020-2025","25--29","Female","No Education",98.3
"SSP2","Zambia","2025-2030","25--29","Female","No Education",98.4
"SSP2","Zambia","2030-2035","25--29","Female","No Education",98.5
"SSP2","Zambia","2035-2040","25--29","Female","No Education",98.6
"SSP2","Zambia","2040-2045","25--29","Female","No Education",98.7
"SSP2","Zambia","2045-2050","25--29","Female","No Education",98.7
"SSP2","Zambia","2050-2055","25--29","Female","No Education",98.8
"SSP2","Zambia","2055-2060","25--29","Female","No Education",98.9
"SSP2","Zambia","2060-2065","25--29","Female","No Education",97.7
"SSP2","Zambia","2065-2070","25--29","Female","No Education",97.8
"SSP2","Zambia","2070-2075","25--29","Female","No Education",97.9
"SSP2","Zambia","2015-2020","30--34","Female","No Education",97.1
"SSP2","Zambia","2020-2025","30--34","Female","No Education",98
"SSP2","Zambia","2025-2030","30--34","Female","No Education",98.1
"SSP2","Zambia","2030-2035","30--34","Female","No Education",98.2
"SSP2","Zambia","2035-2040","30--34","Female","No Education",98.3
"SSP2","Zambia","2040-2045","30--34","Female","No Education",98.4
"SSP2","Zambia","2045-2050","30--34","Female","No Education",98.5
"SSP2","Zambia","2050-2055","30--34","Female","No Education",98.5
"SSP2","Zambia","2055-2060","30--34","Female","No Education",98.6
"SSP2","Zambia","2060-2065","30--34","Female","No Education",97.2
"SSP2","Zambia","2065-2070","30--34","Female","No Education",97.3
"SSP2","Zambia","2070-2075","30--34","Female","No Education",97.4
"SSP2","Zambia","2015-2020","35--39","Female","No Education",96.4
"SSP2","Zambia","2020-2025","35--39","Female","No Education",97.4
"SSP2","Zambia","2025-2030","35--39","Female","No Education",97.5
"SSP2","Zambia","2030-2035","35--39","Female","No Education",97.6
"SSP2","Zambia","2035-2040","35--39","Female","No Education",97.7
"SSP2","Zambia","2040-2045","35--39","Female","No Education",97.9
"SSP2","Zambia","2045-2050","35--39","Female","No Education",98
"SSP2","Zambia","2050-2055","35--39","Female","No Education",98.1
"SSP2","Zambia","2055-2060","35--39","Female","No Education",98.2
"SSP2","Zambia","2060-2065","35--39","Female","No Education",96.5
"SSP2","Zambia","2065-2070","35--39","Female","No Education",96.6
"SSP2","Zambia","2070-2075","35--39","Female","No Education",96.7
"SSP2","Zambia","2015-2020","40--44","Female","No Education",95.9
"SSP2","Zambia","2020-2025","40--44","Female","No Education",96.8
"SSP2","Zambia","2025-2030","40--44","Female","No Education",96.9
"SSP2","Zambia","2030-2035","40--44","Female","No Education",97.1
