"SurveyId","survey_year","country_name","country_code_2","zip_file_name","FileSize","file_name","country_code","n_wave"
"ID1997DHS","1997","Indonesia","ID","IDPR3ASV.ZIP",12349109,"IDPR3ASV.rds","IDN",7
"ID2003DHS","2003","Indonesia","ID","IDPR42SV.ZIP",5873467,"IDPR42SV.rds","IDN",7
"ID2007DHS","2007","Indonesia","ID","IDPR52SV.ZIP",7035075,"IDPR52SV.rds","IDN",7
"ID2012DHS","2012","Indonesia","ID","IDPR63SV.ZIP",7692573,"IDPR63SV.rds","IDN",7
"ID2017DHS","2017","Indonesia","ID","IDPR71SV.ZIP",12289300,"IDPR71SV.rds","IDN",7
"JO1990DHS","1990","Jordan","JO","JOPR21SV.ZIP",1240404,"JOPR21SV.rds","JOR",7
"JO1997DHS","1997","Jordan","JO","JOPR31SV.ZIP",1256588,"JOPR31SV.rds","JOR",7
"JO2002DHS","2002","Jordan","JO","JOPR42SV.ZIP",4442069,"JOPR42SV.rds","JOR",7
"JO2007DHS","2007","Jordan","JO","JOPR51SV.ZIP",3416769,"JOPR51SV.rds","JOR",7
"JO2009DHS","2009","Jordan","JO","JOPR61SV.ZIP",3062329,"JOPR61SV.rds","JOR",7
"JO2012DHS","2012","Jordan","JO","JOPR6CSV.ZIP",6230815,"JOPR6CSV.rds","JOR",7
"JO2017DHS","2017","Jordan","JO","JOPR73SV.ZIP",5172559,"JOPR73SV.rds","JOR",7
"KK1995DHS","1995","Kazakhstan","KK","KKPR31SV.ZIP",413168,"KKPR31SV.rds","KAZ",2
"KK1999DHS","1999","Kazakhstan","KK","KKPR42SV.ZIP",474628,"KKPR42SV.rds","KAZ",2
"KE1993DHS","1993","Kenya","KE","KEPR33SV.ZIP",1131065,"KEPR33SV.rds","KEN",5
"KE1998DHS","1998","Kenya","KE","KEPR3ASV.ZIP",585979,"KEPR3ASV.rds","KEN",5
"KE2003DHS","2003","Kenya","KE","KEPR42SV.ZIP",1985158,"KEPR42SV.rds","KEN",5
"KE2008DHS","2008","Kenya","KE","KEPR52SV.ZIP",3506638,"KEPR52SV.rds","KEN",5
"KE2014DHS","2014","Kenya","KE","KEPR72SV.ZIP",13183210,"KEPR72SV.rds","KEN",5
"KY1997DHS","1997","Kyrgyz Republic","KY","KYPR31SV.ZIP",429458,"KYPR31SV.rds","KGZ",2
"KY2012DHS","2012","Kyrgyz Republic","KY","KYPR61SV.ZIP",2730706,"KYPR61SV.rds","KGZ",2
"LS2004DHS","2004","Lesotho","LS","LSPR41sv.zip",3120231,"LSPR41sv.rds","LSO",3
"LS2009DHS","2009","Lesotho","LS","LSPR61SV.ZIP",3365999,"LSPR61SV.rds","LSO",3
"LS2014DHS","2014","Lesotho","LS","LSPR71SV.ZIP",3013949,"LSPR71SV.rds","LSO",3
"LB2007DHS","2007","Liberia","LB","lbpr51sv.zip",2763494,"lbpr51sv.rds","LBR",3
"LB2013DHS","2013","Liberia","LB","LBPR6ASV.ZIP",4144295,"LBPR6ASV.rds","LBR",3
"LB2019DHS","2019","Liberia","LB","LBPR7ASV.ZIP",4426654,"LBPR7ASV.rds","LBR",3
"MD1992DHS","1992","Madagascar","MD","MDPR21SV.ZIP",488553,"MDPR21SV.rds","MDG",4
"MD1997DHS","1997","Madagascar","MD","MDPR31SV.ZIP",924090,"MDPR31SV.rds","MDG",4
"MD2004DHS","2004","Madagascar","MD","MDPR42SV.ZIP",2164436,"MDPR42SV.rds","MDG",4
"MD2008DHS","2008","Madagascar","MD","MDPR51SV.ZIP",6294393,"MDPR51SV.rds","MDG",4
"MW1992DHS","1992","Malawi","MW","MWPR22SV.ZIP",539459,"MWPR22SV.rds","MWI",5
"MW2000DHS","2000","Malawi","MW","MWPR41SV.ZIP",3861682,"MWPR41SV.rds","MWI",5
"MW2004DHS","2004","Malawi","MW","MWPR4ESV.ZIP",4569814,"MWPR4ESV.rds","MWI",5
"MW2010DHS","2010","Malawi","MW","MWPR61SV.ZIP",9171232,"MWPR61SV.rds","MWI",5
"MW2015DHS","2015","Malawi","MW","MWPR7ASV.ZIP",10645983,"MWPR7ASV.rds","MWI",5
"MV2009DHS","2009","Maldives","MV","MVPR52SV.ZIP",3300723,"MVPR52SV.rds","MDV",2
"MV2016DHS","2016","Maldives","MV","MVPR71SV.ZIP",2406099,"MVPR71SV.rds","MDV",2
"ML1996DHS","1996","Mali","ML","MLPR32SV.ZIP",1244528,"MLPR32SV.rds","MLI",5
"ML2001DHS","2001","Mali","ML","MLPR41SV.ZIP",5284366,"MLPR41SV.rds","MLI",5
"ML2006DHS","2006","Mali","ML","MLPR53SV.ZIP",6364688,"MLPR53SV.rds","MLI",5
"ML2012DHS","2012","Mali","ML","MLPR6ASV.ZIP",5063385,"MLPR6ASV.rds","MLI",5
"ML2018DHS","2018","Mali","ML","MLPR7ASV.ZIP",5115536,"MLPR7ASV.rds","MLI",5
"MA1992DHS","1992","Morocco","MA","MAPR21SV.ZIP",845650,"MAPR21SV.rds","MAR",2
"MA2003DHS","2003","Morocco","MA","MAPR43sv.zip",4853748,"MAPR43sv.rds","MAR",2
"MZ1997DHS","1997","Mozambique","MZ","MZPR31SV.ZIP",1133451,"MZPR31SV.rds","MOZ",3
